norwegian,english
hund,dog
katt,cat
hus,house
bok,book
vann,water
sol,sun
måne,moon
bil,car
sykkel,bicycle
fugl,bird
bord,table
stol,chair
mat,food
venn,friend
familie,family
skole,school
lærer,teacher
eple,apple
banan,banana
brød,bread
melk,milk
kaffe,coffee
te,tea
juice,juice
fisk,fish
kjøtt,meat
grønn,green
blå,blue
rød,red
gul,yellow
himmel,sky
tre,tree
blomst,flower
hage,garden
fjell,mountain
elv,river
skog,forest
strand,beach
sand,sand
sjø,sea
båt,boat
fly,plane
tog,train
stasjon,station
butikk,shop
matbutikk,grocery
sykehus,hospital
apotek,pharmacy
lege,doctor
sykepleier,nurse
øy,island
fjord,fjord
vei,road
gate,street
huske,remember
glemme,forget
snakke,talk
høre,hear
se,see
lese,read
skrive,write
spise,eat
drikke,drink
sove,sleep
våkne,wake
gå,walk
løpe,run
hoppe,jump
svømme,swim
spille,play
synge,sing
danse,dance
kjøkken,kitchen
stue,living room
bad,bathroom
soverom,bedroom
dør,door
vindu,window
tak,roof
gulv,floor
vegg,wall
taklampe,ceiling light
bokhylle,bookshelf
sofa,sofa
stol,chair
bord,table
teppe,carpet
gardin,curtain
bilde,picture
klokke,clock
telefon,phone
datamaskin,computer
skjerm,screen
mus,mouse
tastatur,keyboard
notatbok,notebook
blyant,pencil
penn,pen
papir,paper
lue,hat
jakke,jacket
sko,shoes
bukse,pants
skjorte,shirt
kjole,dress
genser,sweater
sokker,socks
undertøy,underwear
veske,bag
paraply,umbrella
solbriller,sunglasses
belte,belt
ring,ring
ørepynt,earrings
halskjede,necklace
klær,clothes
matlaging,cooking
spising,eating
drikking,drinking
shopping,shopping
vasking,cleaning
rydde,tidy
leke,play
lære,learn
undervise,teach
lese,read
skrive,write
telle,count
måle,measure
studere,study
høre,listen
se,watch
se på,look at
gå til,go to
komme,come
reise,travel
kjøre,drive
fly,fly
svømme,swim
hoppe,jump
leke,play
snakke,speak
fortelle,tell
spørre,ask
svare,answer
tenke,think
føle,feel
høre,hear
smake,taste
lukte,smell
se på,see
holde,hold
bære,carry
kaste,throw
fange,catch
gi,give
ta,take
åpne,open
lukke,close
bryte,break
reparere,repair
male,paint
tegne,draw
bygge,build
rydde,clean up
vaske,wash
lage,make
kjøpe,buy
selge,sell
låne,borrow
leie,rent
låse,lock
låse opp,unlock
sitte,sit
stå,stand
ligge,lie
hvile,rest
sove,sleep
våkne,wake
klem,hug
gråte,cry
smile,smile
le,laugh
snakke,speak
diskutere,discuss
argumentere,argue
høre på,listen to
lese,read
skrive,write
tegne,draw
male,paint
lære,study
undervise,teach
spørre,ask
svare,answer
huske,remember
glemme,forget
tro,believe
vite,know
forstå,understand
føle,feel
hjelpe,help
redd,scared
glad,happy
trist,sad
sint,angry
lei,bored
sulten,hungry
tørst,thirsty
varm,warm
kald,cold
vått,wet
tørt,dry
rene,clean
skitten,dirty
stor,big
liten,small
lang,long
kort,short
høy,tall
lav,short
bred,wide
smal,narrow
rask,fast
langsom,slow
